Songs,Lyrics
The New Workout Plan,"[Intro]You just popped in the Kanye WestGet Right for the Summer workout tapeAnd ladies, if you follow these instructions exactlyYou might be able to pull you a rapper, a NBA playerMan, at least a dude with a car!So, first of all, we gonna work on the stomachNobody wants a little tight ass[Verse 1]One, and two, and three, and four, and get them sit ups right, andTuck your tummy tight and do your crunches like thisGive head, stop, breathe, get up, check your weaveDon't drop the blunt and disrespect the weedPick up your son, don't disrespect your seedIt's a party tonight and ooh, she's so excitedTell me who's invited: you, your friends and my dick(Ah!) What's scary to meHenny make girls look like Halle Berry to meSo excuse me, miss, I forgot your nameThank you, God bless you, good night I came, I came, I came[Chorus]It's been a week without meAnd she feel weak without meShe wanna talk it out butAin't nothing to talk aboutUnless she's talking 'bout freaking outThen maybe we can work it outWork it out, work it outWork it out, work it out nowMaybe we can work it out"
Slow Jamz,"[Intro: Jamie Foxx]Kanye, it's, it's Foxx, manI'm just sayin', you know, I was talkin' to the girls, you knowAnd we, we don't put enough emphasis on the ladies sometimeYou know, I was talkin' to this girlShe was talkin' about the music all fast in the club, you knowShe gotta drink water 'cause she thirstyShe done danced like ninety to a hundred songs back to backWhen ain't nobody, you know, really try to find out what she feelin'Like how she feel, you know, you know what she told me?(Are you gonna be?) Check it out, this is what she said(Say that you're gonna be) Ooh, ooh, ooh, ooh, oooh[Chorus: Jamie Foxx & Luther]She said she want some Marvin Gaye, some Luther VandrossA little Anita will definitely set this party off right(Are you gonna be, are you gonna be, are you gonna beAre you gonna be, are you gonna be, well, well, well, well)She said she want some Ready for the World, some New EditionSome Minnie Riperton will definitely set this party off right(Are you gonna be, are you gonna be, are you gonna beAre you gonna be, are you gonna be, well, well, well, well)[Interlude: Kanye West]Yes it willIt definitely will!You know what I told her?"
Breathe In Breathe Out,"[Chorus: Ludacris]Yeah! Breathe in, breathe outIf you're iced up, pull your sleeves outPush a big truck, pull your keys outGirls go wild and pull your D's outBreathe in, breathe outLet them hoes fight, pull a weave outIf a nigga act up, pull a Desert E's outWhen I pull the piece out, niggas like, ""Peace out!""[Verse 1: Kanye West]Golly, more of that bullshit ice rapI gotta 'pologize to Mos and Kweli (Kweli)But is it cool to rap about goldIf I told the world I copped it from Ghana and Mali? (Mali!)First nigga with a Benz and a backpackIce chain, Carti lens, and a knapsackAlways said if I rapped, I'd say somethin' significantBut now, I'm rapping 'bout money, hoes, and rims againAnd it's still about the BenjaminsBig-face hundreds and whatever other synonymsStrippers named ""Cinnamon,"" more chips than Pentium""What you gon' buy next?"" Whatever new trend it isI'm tryna spend my stacks, and I'm so brokeI look back, like, ""Damn, was I on crack?""I mean, twelve platinum chains—was I on that?What the hell was wrong with me, dawg?Sing along with me, y'all"
School Spirit Skit 1,"[Skit 1: DeRay Davis]Now beat that!And your mother's saying ""Go to college""So you finish college and it's wonderfulYou feel so goodAnd after all the partying and crazinessAnd don't forget about that drug habit you picked up at school being around your peersHey!Now you'll get that 25-thousand dollar job a yearAnd you'll spend all your money on crack cocaineBut, it'll be YOUR moneyNo more borrowing from mom for my high!So now you get your degree tattooed on your backYou're so excited about itIf you continue to work at the Gap, after several interviews, oh my GodYou'll come in at a entry-level positionAnd when you do thatIf you kiss enough assYou'll move up to the next levelWhich is being the secretary's secretaryAnd boy, is that greatYou get to take messages for the secretaryWho NEVER went to collegeShe's actually the boss's niece!So now you're part of the familyYou know what college does for you?It makes you really smart, manAll you kids wanted to talk in the back of the classNot me, I listenedOkay?I was a hall monitorThis was meant to beYou know how many classes I took?Extra classes, extra classesNo, I've never had sexBut you know what?My degree keeps me satisfiedWhen a lady walks up to me and says""Hey, you know what's sexy?""I said, no, I don't know what it isBut I bet I can add up all the change in your purseVery fast"
School Spirit,"[Intro]School spirit, ****[Chorus]Alpha, step, Omega, stepKappa, step, Sigma, stepGangstas walk, pimps gon' talkOoh, hecky nah, that boy is rawAKA, step, Delta, stepS.G. Rho, step, Zeta, stepGangstas walk, pimps gon' talkOoh, hecky nah, that boy is raw[Verse 1]I'ma get on this TV, mamaI'ma, I'ma put **** downI'ma make sure these light-skinned ****Never, ever, never come back in styleTold 'em I finished school and I started my own businessThey say, ""Oh, you graduated?"" No, I decided I was finishedChasing y'all dreams and what you've got plannedNow I spit it so hot, you got tannedBack to school and I hate it there, I hate it thereEverything I want, I gotta wait a year, I wait a yearThis **** graduated at the top of our classI went to Cheesecake, he was a **** waiter there"
School Spirit Skit 2,"[Skit: De'Ray Davis]You keep it going, man, you keep those books rollingYou pick up all those books that you're gonna read and not remember and you roll, manYou get that associate's degree, okay?Then you get your bachelor'sThen you get your mastersThen you get your masters' mastersThen you get your doctorateYou go, manAnd then, when everybody says quit, you show them those degrees, manWhen everyone says, ""Hey, you're not working, you're not making any money""You say, ""You look at my degrees, and you look at my lifeYeah, I'm fifty-two, so what?Hate all you want, but I'm smart, I'm so smartAnd, and I'm in schoolAll these guys out here, uh, making money all these waysAnd I'm spending mine to be smartYou know why?'Cause when I die, buddyYou know what's gonna keep me warm?That's right, those degrees"""
Lil Jimmy Skit,"[Spoken Word: The World Famous Tony Williams & DeRay]Hey Jimmy, where you going?I don't know where I'm goingMy Dad died, and, uh, he left me his degreesMy mom would always say, ""Dad, why don't you work?""But he just kept learning, hmmAll the other kids' parents were working and saving up money for schoolAnd I was actually in school all while my dad was in school!Even, he was so greedy with degrees, he took my degreeAnd now, I'm just glad he left me theseBecause all the regular homeless people have newspaper, and look what I haveThese are documented, my father left them to meAnd I'm going to leave them to my kidsI'm gonna learn tooI'm gonna get super smart, so I, too, can die without moneyBut I'll be the smartest dead guy!Who has that?"
Two Words,"[Chorus: Kanye West]We in the streets, playa, get your mailIt's only two places you end up: either dead or in jailStill nowhere to goStill nowhere to goNow throw your hands up, hustlers, busters, boosters, hoesEverybody, fuck that!Still nowhere to goStill nowhere to go[Verse 1: Yasiin Bey]Listen, two words: United States, no love, no breaksLow brow, high stakes, crack smoke, Black folksBig Macs, fat folks, ecstasy capsulesPresidential scandals, everybody moveTwo words: Mos Def, K. West, hot shitCalm down, get back, ghetto people got thisGame 'pon lock shit, gun 'pon cock shitWe won't stop shit—everybody move!Two words: B-K, N-Y, Bed-StuyToo harsh, too hungry, too many, that's whyThese streets know game, can't ball, don't playHeavy traffic, one lane—everybody move!Two words: Mos Def, Black Jack, hot shitCalm down, get back, ghetto people got thisGame 'pon lock, gun 'pon cockWe won't stop—everybody move!"
Through The Wire,"[Produced by Kanye West][Music Video - Intro]Last October Grammy-nominated producer KANYE WEST was in a nearly fatal car accident. His jaw was fractured in nearly three places. Two weeks later he recorded this song with his mouth still wired shut... so the world could feel his pain![Intro]Yo, G, they can't stop me from rappin', can they?Can they, Hop?[Chorus: Chaka Khan]Through the fire, to the limit, to the wallFor a chance to be with you, I'd gladly risk it allThrough the fire, through whatever, come what mayFor a chance at loving you, I'd take it all the wayRight down to the wire, even through the fire[Post-Chorus]I spit it through the wire, manThere's too much stuff on my heart right now, manI'd gladly risk it all right nowIt's a life-or-death situation, manY'all, y'all don't really understand how I feel right now, manIt's your boy, Kanye to the…Chi-Town, what's goin' on?Uh-huh, yeah, yeah"
Family Business,"[Intro]How's your son?(All, all, all tha-thang, thang, all, all tha-thang, thang, thang)He made the team this year?Aight, they said he wasn't tall enough(All, all that glitters is not gold, all gold is not reality, real is what you lays on me)Ma', we here, we gon' cook this Sunday, okay? So come byDamn, that's your new girlfriend?[Verse 1]This is family businessAnd this is for the family that can't be with usAnd this is for my cousin locked down, know the answer's in usThis why I spit it in my songs so sweet, like a photo of your granny's pictureNow that you're gone, it hit usSuper hard on Thanksgiving and Christmas, this can't be rightYo, you heard the track I did, man? ""This Can't Be Life""Somebody please say grace, so I can save faceAnd have a reason to cover my faceI even made you a plate, soul food, know how Granny do itMonkey bread on the side, know how the family do itWhen I brought it, why the guard had to look all through it?As kids, we used to laugh, who knew that life would move this fast?Who knew I'd have to look at you through a glass?And look, you tell me you ain't did it, then you ain't did itAnd if you did, then that's family business"
"CARNIVAL (feat. Rich The Kid, Playboi Carti)",
"CARNIVAL (feat. Rich The Kid, Playboi Carti)",
CARNIVAL - HOOLIGANS VERSION,
CARNIVAL - INSTRUMENTAL,
"CARNIVAL (feat. Rich The Kid, Playboi Carti) - ACAPELLA",
CARNIVAL - HOOLIGANS VERSION,
"CARNIVAL (feat. Rich The Kid, Playboi Carti)",
CARNIVAL - INSTRUMENTAL,
TALKING,
